"source_id","covered_checks","total_checks","coverage_fraction"
"CNRM-ESM2-1",100,100,1
"IPSL-CM6A-LR",100,100,1
"MPI-ESM1-2-HR",100,100,1
"MPI-ESM1-2-LR",100,100,1
"UKESM1-0-LL",100,100,1
"CMCC-ESM2",90,100,0.9
"ACCESS-ESM1-5",84,100,0.84
"CanESM5",81,100,0.81
"CESM2-WACCM",75,100,0.75
"CanESM5-CanOE",67,100,0.67
"MIROC-ES2L",66,100,0.66
"MRI-ESM2-0",63,100,0.63
"GISS-E2-1-G",62,100,0.62
"ACCESS-CM2",60,100,0.6
"AWI-CM-1-1-MR",60,100,0.6
"BCC-CSM2-MR",60,100,0.6
"CAMS-CSM1-0",60,100,0.6
"CMCC-CM2-SR5",60,100,0.6
"CNRM-CM6-1",60,100,0.6
"CNRM-CM6-1-HR",60,100,0.6
"EC-Earth3",60,100,0.6
"EC-Earth3-Veg",60,100,0.6
"EC-Earth3-Veg-LR",60,100,0.6
"HadGEM3-GC31-LL",60,100,0.6
"NESM3",60,100,0.6
"NorESM2-LM",60,100,0.6
"NorESM2-MM",60,100,0.6
"FGOALS-g3",57,100,0.57
"CAS-ESM2-0",54,100,0.54
"MIROC6",54,100,0.54
"CIESM",50,100,0.5
"FIO-ESM-2-0",50,100,0.5
"TaiESM1",50,100,0.5
"EC-Earth3-CC",48,100,0.48
"FGOALS-f3-L",45,100,0.45
"CESM2",42,100,0.42
"HadGEM3-GC31-MM",42,100,0.42
"MCM-UA-1-0",40,100,0.4
"GFDL-ESM4",37,100,0.37
"IPSL-CM5A2-INCA",36,100,0.36
"GFDL-CM4",32,100,0.32
"UKESM1-1-LL",32,100,0.32
"EC-Earth3-HR",20,100,0.2
"EC-Earth3-AerChem",18,100,0.18
"IPSL-CM6A-LR-INCA",10,100,0.1
"MPI-ESM-1-2-HAM",10,100,0.1
"EC-Earth3-ESM-1",8,100,0.08
"CESM2-FV2",7,100,0.07
"CESM2-WACCM-FV2",7,100,0.07
"AWI-ESM-1-1-LR",6,100,0.06
"BCC-ESM1",6,100,0.06
"CMCC-CM2-HR4",6,100,0.06
"GISS-E2-1-G-CC",6,100,0.06
"ICON-ESM-LR",6,100,0.06
"SAM0-UNICON",5,100,0.05
"NorCPM1",2,100,0.02
"GISS-E2-2-G",1,100,0.01
